,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2024-07-14,73RD NEW HAMPSHIRE OPEN (NH)5: EXTRA,1629 =>1614,,
3,2024-07-14,73RD NEW HAMPSHIRE OPEN (NH)2: UNDER 1800,1574 =>1629,,
4,2024-06-30,FMCA JUNE 2024 SCHOLASTIC (MA)1: O1300,1501 =>1574,1385 =>1449,
5,2024-06-16,NEW ENGLAND CLASS CHAMPIONSHIP (MA)3: CLASS B,1528 =>1501,,
6,2024-05-27,92ND MASSACHUSETTS OPEN (MA)3: UNDER 1800,1541 =>1528,,
7,2024-05-26,MASSACHUSETTS BLITZ CHAMPIONSHIP (MA)1: BLITZ,,,1315 =>1270
8,2024-05-11,2ND LOU GIARRUSSO CENTENNIAL CUP (RI)2: U1600,1533 =>1541,1382 =>1385,
9,2024-05-04,5TH BROOKLINE BLITZ CHAMPIONSHIP (MA)2: U1600,,,1275 =>1315
10,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)5: U1600,1439 =>1533,1230 =>1382,
11,2024-04-14,4TH SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1435 =>1439,1227 =>1230,
12,2024-04-07,1ST PENGUIN FESTIVAL (MA)2: MEGALLANIC (UNDER 1925),1390 =>1435,,
13,2024-03-17,HURVITZ CUP (MA)3: GRADES K-5,1396 =>1390,1233 =>1227,
14,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1417 =>1396,1251 =>1233,
15,2024-02-24,10TH QUEEN CITY TORNADO (NH)2: UNDER 1800,1393 =>1417,1245 =>1251,
16,2024-02-17,NASHUA GRAND PRIX TORNADO (NH)2: UNDER 2025,1439 =>1393,1300 =>1245,
17,2024-02-11,WINTER TEAM CHALLENGE (MA)1: U1800,1426 =>1439,1297 =>1300,
18,2024-02-09,FRIDAY NIGHT BLITZ (MA)1: OPEN,,,1327 =>1275
